product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank,label,product_category_idx,product_category_vec,unscaled_features,features,prediction
0790730979,Disclosure,Video_DVD,87,109,209,59,0,4.252873563218391,1.2528735632183907,2.4022988505747125,4.4576271186440675,,8.988505747126437,3.81407974169083,0.5215311004784688,0.6781609195402298,0.0,0.31761647108425267,0.31761647108425267,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.252873563218391, 87.0, 2.4022988505747125, 1.2528735632183907]","[2.287549822185683, 0.0, 8.457834553460284, 0.3907535918881515, 0.6287189591460315, 0.4641514831756887]",0.44924048057572735
0792846109,Manhattan,Video_DVD,136,527,1013,66,0,4.352941176470588,3.875,7.448529411764706,4.318181818181818,,21.845588235294116,2.8803005619043076,0.5202369200394866,0.4852941176470588,0.0,0.9628978989529899,0.9628978989529899,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.352941176470588, 136.0, 7.448529411764706, 3.875]","[2.287549822185683, 0.0, 8.656842425306406, 0.6108332011125127, 1.9493959537186498, 1.4355694382165511]",0.5529035806218062
1421500167,"Absolute Boyfriend, Vol. 1",Books,28,82,164,11,0,4.321428571428571,2.9285714285714284,5.857142857142857,4.454545454545454,,18.107142857142858,3.3825305180347196,0.5,0.39285714285714285,0.0,0.48144814481448145,0.48144814481448145,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.321428571428571, 28.0, 5.857142857142857, 2.9285714285714284]","[0.0, 0.0, 8.594172234003512, 0.12575977669963495, 1.5329053501530379, 1.0849464878687298]",0.545687524900566
1573225053,Desolation Angels,Books,38,515,575,11,0,4.473684210526316,13.552631578947368,15.131578947368421,4.2727272727272725,,69.15789473684211,3.5668789186198637,0.8956521739130435,0.2894736842105263,0.0,0.33423342334233425,0.33423342334233425,2.0,"(0.0, 0.0)","[0.0, 0.0, 4.473684210526316, 38.0, 15.131578947368421, 13.552631578947368]","[0.0, 0.0, 8.896968210930126, 0.1706739826637903, 3.9601694700680214, 5.02083708442461]",0.6581031908046642
6305428271,Dangerous Minds,Video_DVD,222,228,587,154,0,4.536036036036036,1.027027027027027,2.644144144144144,4.785714285714286,,8.333333333333334,2.9500557036054005,0.38841567291311757,0.6936936936936937,0.0,0.5140889607195559,0.5140889607195559,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.536036036036036, 222.0, 2.644144144144144, 1.027027027027027]","[2.287549822185683, 0.0, 9.020969410690308, 0.9970953724042486, 0.6920136325839191, 0.38048222250900743]",0.5478082460785861
6305808163,The Devil Rides Out,Video_DVD,23,87,114,4,0,4.521739130434782,3.782608695652174,4.956521739130435,5.0,,21.26086956521739,3.425621118012423,0.7631578947368421,0.17391304347826086,0.0,0.6404328578455485,0.6404328578455485,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.521739130434782, 23.0, 4.956521739130435, 3.782608695652174]","[2.287549822185683, 0.0, 8.99253666741582, 0.10330267371755729, 1.2971988010839068, 1.4013412748930147]",0.7095026655045132
B00000FA91,Chaos Theory,Video_DVD,32,108,188,17,0,3.875,3.375,5.875,4.294117647058823,,15.625,3.2649934180560307,0.574468085106383,0.53125,0.0,0.43391188251001334,0.43391188251001334,0.0,"(1.0, 0.0)","[1.0, 0.0, 3.875, 32.0, 5.875, 3.375]","[2.287549822185683, 0.0, 7.706344523879183, 0.1437254590852971, 1.5375788420742362, 1.2503346719950605]",0.4867532222513712
B000031EGT,Mr. Deeds Goes to Town,Video_DVD,34,136,295,7,0,4.382352941176471,4.0,8.676470588235293,4.571428571428571,,20.88235294117647,3.8133068044832745,0.4610169491525424,0.20588235294117646,0.0,0.857213126273628,0.857213126273628,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.382352941176471, 34.0, 8.676470588235293, 4.0]","[2.287549822185683, 0.0, 8.715334603855775, 0.15270830027812818, 2.2707672511234023, 1.4818781297719237]",0.7781909760331955
B000038AAN,Brave Fencer Musashi,Video_Games,61,121,283,20,0,4.426229508196721,1.9836065573770492,4.639344262295082,4.6,,13.426229508196721,3.539975368691051,0.4275618374558304,0.32786885245901637,0.0,0.7819567354965585,0.7819567354965585,1.0,"(0.0, 1.0)","[0.0, 1.0, 4.426229508196721, 61.0, 4.639344262295082, 1.9836065573770492]","[0.0, 2.662764508463255, 8.802593427593356, 0.2739766563813476, 1.2141885240516466, 0.7348657938623064]",0.7982601444512014
B00003ETJT,I Am Cuba,Video_DVD,39,284,554,9,0,4.0,7.282051282051282,14.205128205128204,4.555555555555555,,32.35897435897436,2.794870343748737,0.5126353790613718,0.23076923076923078,0.0,0.9818002951303493,0.9818002951303493,0.0,"(1.0, 0.0)","[1.0, 0.0, 4.0, 39.0, 14.205128205128204, 7.282051282051282]","[2.287549822185683, 0.0, 7.954936282713995, 0.17516540326020585, 3.7177029067501444, 2.6977781336873483]",0.5429368950137916
