product_id,product_title,product_category,cnt,helpful_votes_cnt,total_votes_cnt,verified_purchase_cnt,vine_cnt,star_rating_mean,helpful_votes_mean,total_votes_mean,star_rating_with_verified_purchase_mean,star_rating_with_vine_mean,star_rating_with_votes_mean,star_rating_helpful_votes_weighted_mean,sentiment_score_mean,helpful_votes_ratio,verified_purchase_ratio,vine_ratio,percent_rank
B000A0GOG4,Dracula A.D. 1972,Video_DVD,33,118,148,7,0,3.5454545454545454,3.5757575757575757,4.484848484848484,3.7142857142857144,,17.303030303030305,2.9963028553937647,7.363636363636363,0.7972972972972973,0.21212121212121213,0.0,0.35577260909282554
6305650594,The Reptile,Video_DVD,15,23,28,3,0,4.066666666666666,1.5333333333333334,1.8666666666666667,4.0,,10.533333333333333,3.6646464646464647,6.066666666666666,0.8214285714285714,0.2,0.0,0.35577260909282554
B000UPMZ1W,A Big Hand for the Little Lady,Video_DVD,65,12,28,52,0,4.769230769230769,0.18461538461538463,0.4307692307692308,4.8076923076923075,,5.6461538461538465,4.716346153846154,7.323076923076923,0.42857142857142855,0.8,0.0,0.35577260909282554
0671554719,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,Books,2,0,0,1,0,5.0,0.0,0.0,5.0,,5.0,5.0,6.0,,0.5,0.0,0.5220522052205221
0792833244,Species,Video_DVD,35,73,191,11,0,3.5714285714285716,2.085714285714286,5.457142857142857,4.2727272727272725,,12.17142857142857,1.612394351680066,3.4285714285714284,0.38219895287958117,0.3142857142857143,0.0,0.19584006745836555
B006BZ8NZM,Super Shark,Video_DVD,30,48,58,24,0,4.1,1.6,1.9333333333333333,4.375,,9.933333333333334,3.9030769230769233,3.466666666666667,0.8275862068965517,0.8,0.0,0.01159440657719064
0764524836,How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food,Books,424,3988,5349,269,0,4.52122641509434,9.40566037735849,12.61556603773585,4.553903345724907,,41.12264150943396,4.044714743145322,8.377358490566039,0.745559917741634,0.6344339622641509,0.0,0.5885588558855885
B0002475ZC,Richard Pryor: Live in Concert,Video_DVD,2,0,0,2,0,3.0,0.0,0.0,3.0,,3.0,3.0,6.5,,1.0,0.0,0.8856721242358232
B000EDZCBU,The Way of the Dragon,Video_DVD,1,3,4,0,0,5.0,3.0,4.0,,,20.0,4.0,9.0,0.75,0.0,0.0,0.8856721242358232
B00269DXXO,Resident Evil Archives: Resident Evil,Video_Games,123,335,664,90,0,4.308943089430894,2.7235772357723578,5.3983739837398375,4.455555555555556,,15.59349593495935,3.653951855388149,4.130081300813008,0.5045180722891566,0.7317073170731707,0.0,0.6399950835791544
B00BDX39TC,Circling the Sun,Books,17,28,28,0,0,5.0,1.6470588235294117,1.6470588235294117,,,13.235294117647058,5.0,12.647058823529411,1.0,0.0,0.0,0.3503350335033503
B00006M3R6,Metroid Fusion,Video_Games,191,230,504,51,0,4.5811518324607325,1.2041884816753927,2.6387434554973823,4.607843137254902,,10.178010471204189,3.8977637469952646,8.942408376963352,0.45634920634920634,0.2670157068062827,0.0,0.9771386430678466
